employee_id,first_name,last_name,email,phone_number,address,date_of_birth,ssn,job_title,hire_date,salary,password
4925,Carol,Sanders,ashley23@example.org,001-254-203-7858x998,"923 Jeremiah Corner Apt. 955, Lake Tannerberg, MO 72428",1995-09-11,241-30-4717,Software Engineer,2020-08-28,66870.32,Ke46oGSJ
86966,Steven,Scott,pearsonnicholas@example.org,001-380-495-2023x698,"199 Brandon Fields Suite 202, Dorseymouth, MO 14241",1986-02-07,677-97-3128,Software Engineer,2024-06-27,116160.55,uS1hz4Xq
58848,Todd,Horton,amanda23@example.net,+1-619-730-0809x7335,"7673 Michelle Isle Apt. 492, North Cheryl, DE 78567",1991-01-06,370-11-0956,Software Engineer,2021-04-03,117754.39,ZtyCijLb
31569,Jeffrey,Peters,robinsonbrian@example.com,559-460-2905,"97854 Samantha Crest Suite 285, East Daniel, FL 26428",1997-06-19,002-61-9157,Data Analyst,2020-04-24,69637.64,j13XqFLX
26069,Brandy,Moore,justin14@example.net,(890)986-7994,"305 Williams Crest, Cruzborough, MO 36790",1964-08-02,253-94-9628,HR Specialist,2023-07-26,60934.93,QbbPKivc
10504,Scott,Taylor,bdiaz@example.com,(654)435-0710x24377,"5213 Olsen Throughway, North Chrischester, PR 59074",1979-07-27,041-61-2535,Software Engineer,2021-05-02,110953.33,a8VcFqrs
45976,Martin,Johnson,ytucker@example.com,8619408856,"711 Thomas Cove, Stacyside, OK 28326",1985-07-07,553-97-0474,Product Manager,2021-04-18,51417.34,YzaLXrIX
36425,James,Gordon,juanvargas@example.org,(934)747-6155,"6128 Thompson Drive, Bennettland, MA 47867",2000-02-25,613-52-9229,Data Analyst,2021-03-23,113047.55,WOAbtMdM
36284,Joseph,Matthews,johnsonjo@example.org,597-236-1606x63812,"3135 Heidi Ville Suite 220, North Michaeltown, AZ 96468",1996-07-30,501-52-8197,HR Specialist,2020-07-07,76036.2,nLUY4OGe
45582,Johnny,Gray,laura78@example.net,001-271-425-5073x652,"58598 John Walk, New Monicastad, AZ 49723",1984-09-15,773-53-6107,Product Manager,2020-07-26,89795.79,STDeHHl6
63933,Jeanette,Weaver,ameyer@example.org,+1-860-286-1500x028,"583 Brown Divide Suite 335, North Cherylbury, IN 58002",1970-03-30,067-19-2709,Sales Manager,2020-06-07,98515.7,reMFR8ti
86977,Michael,Riley,robertgoodwin@example.com,001-971-535-9565,"1333 Joseph Junction Suite 321, New Robert, MO 82835",1979-04-22,003-50-1849,HR Specialist,2024-05-07,114188.96,6ayFgogs
15340,Andrew,Baker,washingtongerald@example.net,606-570-4597,"68914 Palmer Points, Chadport, KY 57821",1967-04-02,396-98-6833,Product Manager,2024-10-12,60117.6,nubXwqYk
4129,Patricia,Bryant,nherring@example.org,657.301.1442,"3148 Hamilton Pines, Simsside, MO 52072",1994-05-10,660-23-3554,Product Manager,2020-01-28,95581.81,tLKvMRrj
46655,Carrie,Best,ntorres@example.net,+1-213-998-5816x398,"8490 Bruce Turnpike, Lake Charles, NJ 92578",1986-12-10,551-31-6545,Sales Manager,2020-09-08,105246.29,uGPxsR51
61554,Randy,Patrick,debramanning@example.com,248-250-2435x737,"91425 Christopher Ferry, Ashleyfurt, WY 70395",1989-09-20,835-26-0412,Product Manager,2021-10-03,75526.11,qq964zy2
39142,Laura,Ferguson,whowell@example.net,001-220-373-1855x830,"6547 Jay Throughway, South Nicholas, CO 38395",1991-04-30,560-05-9843,HR Specialist,2022-05-29,113607.05,mZssPC2e
73899,Robert,Anderson,jotaylor@example.org,292.996.6973x214,"23480 Barnes Rest Suite 686, North Ashley, VI 26158",1980-06-20,007-08-6238,Product Manager,2021-02-01,76729.08,bd8B4GeC
18384,Phillip,Moyer,thomas91@example.org,460-572-8993x11261,"52219 Susan Mill, South Lorraine, OR 21122",1997-11-30,827-04-0537,Product Manager,2024-11-24,102655.89,t5brFJvx
16616,Heather,Miller,edwardbennett@example.org,(713)354-5624x9309,"Unit 1928 Box 4293, DPO AE 52777",1989-06-24,537-53-2931,Data Analyst,2022-08-14,48788.34,z1bMKpV9
42909,Michael,Wilson,rfigueroa@example.org,+1-203-516-9930x42043,"9872 Donald Mews Apt. 575, Donaldfurt, TN 57992",1969-12-13,337-18-7053,Sales Manager,2024-10-11,82165.15,JsEzxwQT
